id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
1Xy7rlgMjkoWlwUSEk5sA4,Venaam Machan,Harris Jayaraj,Oru Kal Oru Kannadi (Original Motion Picture Soundtrack),2012-03-05,0.7971014492753623,0.7325775141861738,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b27352412a0b39aa53f37bda4da1
4yA9dm7uz0oANQK0Mt0ZYQ,Chillena,G. V. Prakash,Raja Rani (Original Motion Picture Soundtrack),2013-08-23,0.0,0.7279167589107814,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273f8b9bf342e218eceeed37169
3yzG1rkCOieELsPAPj6x8f,Ale Ale,A.R. Rahman,Boys,2003-06-28,0.0,0.8990270673362618,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27306b5973bc76a7e2556e2616a
2RtP5i0T7x1CT4DTtOtBi7,"Azhagana Rakshasiyea (From ""Mudhalvan"")",S. P. Balasubrahmanyam,Hits of A.R.Rahman and Harris Jayaraj,2013-07-09,0.43478260869565216,0.8557216596949535,"kannada pop, telugu pop, tamil pop, devotional, tollywood, sandalwood, kollywood",https://i.scdn.co/image/ab67616d0000b2734e8eaff22edcfd559ade6ab9
10TH7LO10wdqyxgKIK1Om6,Girlfriend,A.R. Rahman,Boys,2003-06-28,0.0,0.7084348018596412,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27306b5973bc76a7e2556e2616a
37knnNOWKZ0glenqbjGj5f,Aila Aila,A.R. Rahman,I (Original Motion Picture Soundtrack),2014-09-18,0.5652173913043478,0.778346130990527,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273809bf7d9ca23a1056904ed3d
1LlFJKCWj1G9mK0lBiYLk2,Ladio,A.R. Rahman,I (Original Motion Picture Soundtrack),2014-09-18,0.6231884057971014,0.6588187315754518,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273809bf7d9ca23a1056904ed3d
1Nr46gjiP50uPsz30gYhAd,"Thenmozhi (From ""Thiruchitrambalam"")",Santhosh Narayanan,"Thenmozhi (From ""Thiruchitrambalam"")",2022-07-30,0.8985507246376812,0.40367966628992225,"tamil pop, kollywood, tamil hip hop, tamil dance",https://i.scdn.co/image/ab67616d0000b27382a4489bc3e7f3d1372b3350
2kOH2QZB7F7I1iVXqwKuBF,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")",Dhanush,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")",2022-08-26,0.9130434782608696,0.33151486198338437,"tamil dance, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b27391d60c904b372883d58febc2
6TQS7URegxmcb8tTNpoXzi,"Megham Karukatha (From ""Thiruchitrambalam"")",Dhanush,"Megham Karukatha (From ""Thiruchitrambalam"")",2022-07-15,0.8985507246376812,0.6767416659869732,"tamil dance, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273a88e2419e55cfdf1bf2a2fe2
1pean7zvZUqcWZaUucH63f,"Thaai Kelavi (From ""Thiruchitrambalam"")",Dhanush,"Thaai Kelavi (From ""Thiruchitrambalam"")",2022-06-24,0.855072463768116,0.6033557437982825,"tamil dance, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273e3b15ec025f8e74aac8e9393
4Jr0O3zgoKEk71sIlABkLp,"Marakkuma Nenjam - From ""Vendhu Thanindhathu Kaadu""",A.R. Rahman,"Marakkuma Nenjam (From ""Vendhu Thanindhathu Kaadu"")",2022-08-14,0.7101449275362319,0.6019808209920418,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273243f3987fac8a1a20e05ba4a
4WDya8Mau5wuqLnaNr2Ct0,"Kannukkulle (From ""Sita Ramam (Tamil)"")",Vishal Chandrashekhar,"Kannukkulle [From ""Sita Ramam (Tamil)""]",2022-07-18,0.6231884057971014,0.5418430956736539,"tollywood, telugu pop, kollywood, tamil pop, mollywood",https://i.scdn.co/image/ab67616d0000b2733b8b759cf64c7b9a2a47e94c
